geoid,year,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,state,county,tract
34013008200,2014,80.0,0.0,0.0,11.0,87.0,54.0,0.0,11.0,34,013,008200
34013008700,2014,119.0,0.0,36.0,0.0,105.0,9.0,0.0,0.0,34,013,008700
34013008800,2014,87.0,12.0,14.0,13.0,29.0,18.0,11.0,0.0,34,013,008800
34013008900,2014,15.0,0.0,3.0,0.0,76.0,19.0,7.0,0.0,34,013,008900
34013009000,2014,133.0,43.0,22.0,18.0,112.0,9.0,18.0,0.0,34,013,009000
34013009100,2014,34.0,0.0,0.0,1.0,83.0,8.0,0.0,0.0,34,013,009100
34013009200,2014,39.0,20.0,0.0,6.0,69.0,34.0,0.0,5.0,34,013,009200
34013009300,2014,208.0,23.0,10.0,38.0,252.0,88.0,10.0,25.0,34,013,009300
34013009400,2014,176.0,66.0,29.0,40.0,168.0,64.0,0.0,0.0,34,013,009400
34013009500,2014,114.0,80.0,26.0,3.0,296.0,78.0,50.0,2.0,34,013,009500
34013009600,2014,59.0,9.0,9.0,0.0,128.0,28.0,0.0,0.0,34,013,009600
34013009700,2014,72.0,16.0,0.0,21.0,129.0,9.0,0.0,12.0,34,013,009700
34013009900,2014,8.0,15.0,7.0,0.0,172.0,41.0,0.0,0.0,34,013,009900
34013010000,2014,56.0,45.0,21.0,21.0,88.0,108.0,15.0,0.0,34,013,010000
34013010100,2014,85.0,26.0,0.0,6.0,152.0,65.0,16.0,0.0,34,013,010100
34013010200,2014,109.0,15.0,32.0,0.0,338.0,71.0,36.0,0.0,34,013,010200
34013010300,2014,104.0,48.0,0.0,0.0,187.0,78.0,0.0,15.0,34,013,010300
34013010400,2014,111.0,61.0,14.0,12.0,137.0,0.0,27.0,14.0,34,013,010400
34013010500,2014,158.0,11.0,0.0,0.0,217.0,98.0,0.0,29.0,34,013,010500
34013010600,2014,160.0,0.0,0.0,0.0,120.0,21.0,0.0,0.0,34,013,010600
34013010700,2014,43.0,45.0,34.0,0.0,203.0,11.0,0.0,0.0,34,013,010700
34013010800,2014,51.0,9.0,0.0,0.0,78.0,11.0,0.0,5.0,34,013,010800
34013010900,2014,11.0,16.0,0.0,11.0,112.0,28.0,0.0,15.0,34,013,010900
34013011100,2014,88.0,82.0,0.0,0.0,132.0,108.0,18.0,19.0,34,013,011100
34013011200,2014,84.0,27.0,11.0,0.0,90.0,52.0,30.0,37.0,34,013,011200
34013011300,2014,85.0,0.0,21.0,25.0,156.0,108.0,16.0,0.0,34,013,011300
34013011400,2014,187.0,65.0,59.0,47.0,277.0,147.0,11.0,19.0,34,013,011400
34013011500,2014,9.0,16.0,10.0,0.0,83.0,22.0,0.0,0.0,34,013,011500
34013011600,2014,78.0,16.0,0.0,0.0,67.0,0.0,0.0,0.0,34,013,011600
34013011700,2014,187.0,0.0,7.0,0.0,335.0,40.0,25.0,0.0,34,013,011700
34013011800,2014,32.0,0.0,0.0,0.0,139.0,46.0,0.0,0.0,34,013,011800
34013011900,2014,20.0,23.0,0.0,0.0,46.0,11.0,0.0,0.0,34,013,011900
34013012000,2014,189.0,37.0,0.0,0.0,301.0,79.0,0.0,4.0,34,013,012000
34013012100,2014,82.0,17.0,0.0,0.0,139.0,0.0,0.0,0.0,34,013,012100
34013012200,2014,200.0,0.0,0.0,0.0,209.0,103.0,37.0,0.0,34,013,012200
34013012300,2014,152.0,17.0,29.0,0.0,224.0,63.0,28.0,41.0,34,013,012300
34013012400,2014,172.0,34.0,20.0,0.0,125.0,45.0,0.0,0.0,34,013,012400
34013012500,2014,113.0,0.0,0.0,0.0,207.0,70.0,0.0,0.0,34,013,012500
34013012600,2014,151.0,0.0,0.0,0.0,59.0,0.0,0.0,25.0,34,013,012600
34013012700,2014,59.0,19.0,0.0,0.0,126.0,97.0,0.0,0.0,34,013,012700
34013012800,2014,69.0,0.0,0.0,0.0,79.0,90.0,0.0,0.0,34,013,012800
34013012900,2014,103.0,13.0,0.0,0.0,106.0,0.0,0.0,0.0,34,013,012900
34013013000,2014,140.0,27.0,32.0,11.0,157.0,35.0,0.0,0.0,34,013,013000
34013013100,2014,34.0,15.0,0.0,0.0,24.0,13.0,0.0,0.0,34,013,013100
34013013200,2014,82.0,0.0,0.0,0.0,147.0,21.0,0.0,17.0,34,013,013200
